---,WaveName,WaveDisplayName,BuildingDamageMultiplierTier,AreaMin,AreaMax,Waves,IsGlobalFallback,IsStartingWave
0,"Exile_Purge_Wave1","NSLOCTEXT(""[F7FFF4D149781A7E90C445A6D858D07D]"", ""B44834854ACCCE0832474693959B9D3E"", ""A band of desperate exiles"")","0","(X=-150000.000000,Y=130000.000000)","(X=155000.000000,Y=350000.000000)","((OffBaseSpawnData=(""ExileArcher_Low"",""ExileFighter_Low""),OnBaseSpawnData=(""Wildlife_Imp""),BossSpawnDelay=1.000000,SpawnCap=4,NextWave=""Exile_Purge_Wave2"",WaveTime=600.000000),(DifficultyThreshold=2,OffBaseSpawnData=(""ExileArcher_LowMid"",""ExileFighter_LowMid""),OnBaseSpawnData=(""Wildlife_Imp""),BossSpawnDelay=1.000000,SpawnCap=5,ActiveCap=3,NextWave=""Exile_Purge_Wave2"",WaveTime=600.000000),(DifficultyThreshold=3,OffBaseSpawnData=(""ExileArcher_LowMid"",""ExileFighter_LowMid""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter""),BossSpawnDelay=1.000000,SpawnCap=8,ActiveCap=4,NextWave=""Exile_Purge_Wave2"",WaveTime=600.000000),(DifficultyThreshold=4,OffBaseSpawnData=(""ExileArcher_LowMid"",""ExileFighter_LowMid""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter""),BossSpawnDelay=1.000000,SpawnCap=10,ActiveCap=5,NextWave=""Exile_Purge_Wave2"",WaveTime=600.000000))","False","True"
1,"Exile_Purge_Wave2","NSLOCTEXT(""[F7FFF4D149781A7E90C445A6D858D07D]"", ""7CE658F345C1FB2E9894979A8C09409A"", ""A band of desperate exiles"")","0","(X=-150000.000000,Y=130000.000000)","(X=155000.000000,Y=350000.000000)","((OffBaseSpawnData=(""ExileArcher_Low"",""ExileFighter_Low""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter""),Boss=""Exile_Fighter_1_FireOrb"",InBaseBoss=""Exile_Fighter_1_FireOrb"",BossSpawnDelay=1.000000,SpawnCap=6,ActiveCap=3,SpawnLocationCap=3,NextWave=""Exile_Purge_Wave3"",WaveTime=600.000000),(DifficultyThreshold=2,OffBaseSpawnData=(""ExileArcher_LowMid"",""ExileFighter_LowMid""),OnBaseSpawnData=(""Wildlife_Imp""),Boss=""Exile_Fighter_1_FireOrb"",InBaseBoss=""Exile_Fighter_1_FireOrb"",BossSpawnDelay=1.000000,SpawnCap=8,ActiveCap=4,SpawnLocationCap=3,NextWave=""Exile_Purge_Wave3"",WaveTime=600.000000),(DifficultyThreshold=3,OffBaseSpawnData=(""ExileArcher_LowMid"",""ExileFighter_LowMid""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter""),Boss=""Exile_Fighter_1_FireOrb"",InBaseBoss=""Exile_Fighter_1_FireOrb"",BossSpawnDelay=1.000000,SpawnCap=10,ActiveCap=5,SpawnLocationCap=3,NextWave=""Exile_Purge_Wave3"",WaveTime=600.000000),(DifficultyThreshold=4,OffBaseSpawnData=(""ExileArcher_LowMid"",""ExileFighter_LowMid""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter""),Boss=""Exile_Fighter_1_FireOrb"",InBaseBoss=""Exile_Fighter_1_FireOrb"",BossSpawnDelay=1.000000,SpawnCap=10,ActiveCap=5,SpawnLocationCap=3,NextWave=""Exile_Purge_Wave3"",WaveTime=600.000000))","False","False"
2,"Exile_Purge_Wave3","NSLOCTEXT(""[F7FFF4D149781A7E90C445A6D858D07D]"", ""B86CB8C94E78C1C69E187AA07FF7D2C5"", ""A band of desperate exiles"")","0","(X=-150000.000000,Y=130000.000000)","(X=155000.000000,Y=350000.000000)","((OffBaseSpawnData=(""ExileArcher_LowMid"",""ExileFighter_LowMid""),OnBaseSpawnData=(""Wildlife_Imp"",""Wildlife_ImpExplosive""),Boss=""Purge_ExilesBoss_T1"",InBaseBoss=""Wildlife_ImpKing"",BossSpawnDelay=1.000000,SpawnCap=6,ActiveCap=3,SpawnLocationCap=3,WaveTime=600.000000),(DifficultyThreshold=2,OffBaseSpawnData=(""ExileArcher_Mid"",""ExileFighter_Mid""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter"",""Wildlife_Imp""),Boss=""Purge_ExilesBoss_T1"",InBaseBoss=""Wildlife_ImpKing"",BossSpawnDelay=1.000000,SpawnCap=8,ActiveCap=4,SpawnLocationCap=3,NextWave=""Exile_Purge_Wave4"",WaveTime=600.000000),(DifficultyThreshold=3,OffBaseSpawnData=(""ExileArcher_Mid"",""ExileFighter_Mid""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter"",""Wildlife_Imp""),Boss=""Purge_ExilesBoss_T1"",InBaseBoss=""Wildlife_ImpKing"",BossSpawnDelay=1.000000,SpawnCap=10,ActiveCap=5,SpawnLocationCap=3,NextWave=""Exile_Purge_Wave4"",WaveTime=600.000000),(DifficultyThreshold=4,OffBaseSpawnData=(""ExileArcher_Mid"",""ExileFighter_Mid""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter"",""Wildlife_Imp""),Boss=""Purge_ExilesBoss_T1"",InBaseBoss=""Wildlife_ImpKing"",BossSpawnDelay=1.000000,SpawnCap=8,ActiveCap=4,SpawnLocationCap=3,NextWave=""Exile_Purge_Wave4"",WaveTime=600.000000))","False","False"
3,"Exile_Purge_Wave4","NSLOCTEXT(""[F7FFF4D149781A7E90C445A6D858D07D]"", ""4AB2005C45453C6F5EDC7C92E2391AE5"", ""A band of desperate exiles"")","0","(X=-150000.000000,Y=130000.000000)","(X=155000.000000,Y=350000.000000)","((DifficultyThreshold=2,OffBaseSpawnData=(""ExileArcher_MidHigh"",""ExileFighter_MidHigh""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter"",""Wildlife_Skeleton_Archer""),Boss=""Purge_Exile_Artisan"",BossSpawnDelay=1.000000,SpawnCap=8,ActiveCap=4,SpawnLocationCap=3,NextWave=""Exile_Purge_Wave5"",WaveTime=600.000000),(DifficultyThreshold=3,OffBaseSpawnData=(""ExileArcher_MidHigh"",""ExileFighter_MidHigh""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter"",""Wildlife_Skeleton_Archer""),Boss=""Purge_Exile_Artisan"",BossSpawnDelay=1.000000,SpawnCap=10,ActiveCap=5,SpawnLocationCap=3,NextWave=""Exile_Purge_Wave5"",WaveTime=600.000000),(DifficultyThreshold=4,OffBaseSpawnData=(""ExileArcher_MidHigh"",""ExileFighter_MidHigh"",""Exile_Fighter_3_FireOrb""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter"",""Wildlife_Skeleton_Archer""),Boss=""Purge_Exile_Artisan"",BossSpawnDelay=1.000000,SpawnCap=10,ActiveCap=5,SpawnLocationCap=3,NextWave=""Exile_Purge_Wave5"",WaveTime=600.000000))","False","False"
4,"Exile_Purge_Wave5","NSLOCTEXT(""[F7FFF4D149781A7E90C445A6D858D07D]"", ""CB6E066D4C163D39B489F9B976BAC873"", ""A band of desperate exiles"")","0","(X=-150000.000000,Y=130000.000000)","(X=155000.000000,Y=350000.000000)","((DifficultyThreshold=2,OffBaseSpawnData=(""ExileArcher_High"",""ExileFighter_High""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter"",""Wildlife_Skeleton_Archer""),Boss=""Purge_ExilesBoss_T2"",InBaseBoss=""Exile_Fighter_3_FireOrb"",BossSpawnDelay=1.000000,SpawnCap=10,ActiveCap=5,SpawnLocationCap=3,WaveTime=600.000000),(DifficultyThreshold=3,OffBaseSpawnData=(""ExileArcher_High"",""ExileFighter_High""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter"",""Wildlife_Skeleton_Archer""),Boss=""Purge_ExilesBoss_T2"",BossSpawnDelay=1.000000,SpawnCap=10,ActiveCap=5,SpawnLocationCap=3,NextWave=""Exile_Purge_Wave6"",WaveTime=600.000000),(DifficultyThreshold=4,OffBaseSpawnData=(""ExileArcher_High"",""ExileFighter_High"",""Exile_Fighter_3_FireOrb""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter"",""Wildlife_Skeleton_Archer"",""Wildlife_UndeadLizardMan""),Boss=""Purge_ExilesBoss_T2"",InBaseBoss=""Exile_Fighter_3_FireOrb"",BossSpawnDelay=1.000000,SpawnCap=10,ActiveCap=5,SpawnLocationCap=3,NextWave=""Exile_Purge_Wave6"",WaveTime=600.000000))","False","False"
5,"Exile_Purge_Wave6","NSLOCTEXT(""[F7FFF4D149781A7E90C445A6D858D07D]"", ""4826DA704A8668ADE01FE7B838395DF4"", ""A band of desperate exiles"")","0","(X=-150000.000000,Y=130000.000000)","(X=155000.000000,Y=350000.000000)","((DifficultyThreshold=3,OffBaseSpawnData=(""ExileArcher_High"",""ExileFighter_High""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter"",""Wildlife_Skeleton_Archer"",""Wildlife_Skeleton_Dregs_Fighter"",""Wildlife_Skeleton_Dregs_Archer""),Boss=""Purge_Exile_Artisan"",InBaseBoss=""Undead_Wight"",BossSpawnDelay=1.000000,SpawnCap=11,ActiveCap=5,SpawnLocationCap=3,NextWave=""Exile_Purge_Wave7"",WaveTime=600.000000),(DifficultyThreshold=4,OffBaseSpawnData=(""ExileArcher_High"",""ExileFighter_High""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter"",""Wildlife_Skeleton_Archer"",""Wildlife_Skeleton_Dregs_Fighter"",""Wildlife_Skeleton_Dregs_Archer""),Boss=""Purge_Exile_Artisan"",InBaseBoss=""Undead_Wight"",BossSpawnDelay=1.000000,SpawnCap=11,ActiveCap=5,SpawnLocationCap=3,NextWave=""Exile_Purge_Wave7"",WaveTime=600.000000))","False","False"
6,"Exile_Purge_Wave7","NSLOCTEXT(""[F7FFF4D149781A7E90C445A6D858D07D]"", ""D5BDC475412D3FD5F67DD89DAD5D4918"", ""A band of desperate exiles"")","0","(X=-150000.000000,Y=130000.000000)","(X=155000.000000,Y=350000.000000)","((DifficultyThreshold=3,OffBaseSpawnData=(""ExileArcher_High"",""ExileFighter_High"",""Exile_Fighter_3_FireOrb""),OnBaseSpawnData=(""Wildlife_Skeleton_Dregs_Archer"",""Wildlife_Skeleton_Dregs_Fighter"",""Wildlife_UndeadHyena""),Boss=""Purge_ExilesBoss_T3"",InBaseBoss=""Undead_Wight"",BossSpawnDelay=1.000000,SpawnCap=12,ActiveCap=5,SpawnLocationCap=3,WaveTime=600.000000),(DifficultyThreshold=4,OffBaseSpawnData=(""ExileArcher_High"",""ExileFighter_High""),OnBaseSpawnData=(""Wildlife_Skeleton_Dregs_Archer"",""Wildlife_Skeleton_Dregs_Fighter"",""Wildlife_UndeadHyena""),Boss=""Purge_ExilesBoss_T3"",InBaseBoss=""Undead_Wight"",BossSpawnDelay=1.000000,SpawnCap=12,ActiveCap=5,SpawnLocationCap=3,NextWave=""Exile_Purge_Wave8"",WaveTime=600.000000))","False","False"
7,"Exile_Purge_Wave8","NSLOCTEXT(""[F7FFF4D149781A7E90C445A6D858D07D]"", ""3B685070403CF116E0FDEA81F95D3D51"", ""A band of desperate exiles"")","0","(X=-150000.000000,Y=130000.000000)","(X=155000.000000,Y=350000.000000)","((DifficultyThreshold=4,OffBaseSpawnData=(""ExileArcher_High"",""ExileFighter_High"",""Exile_Fighter_3_FireOrb""),OnBaseSpawnData=(""Wildlife_Skeleton_Dregs_Archer"",""Wildlife_Skeleton_Dregs_Fighter"",""Wildlife_UndeadLizardMan"",""Wildlife_UndeadHyena""),Boss=""Purge_Exile_Artisan"",BossSpawnDelay=1.000000,SpawnCap=13,ActiveCap=5,SpawnLocationCap=3,NextWave=""Exile_Purge_Wave9"",WaveTime=600.000000))","False","False"
8,"Exile_Purge_Wave9","NSLOCTEXT(""[F7FFF4D149781A7E90C445A6D858D07D]"", ""AC3308704D1659C94E908EA0DED45EF2"", ""A band of desperate exiles"")","0","(X=-150000.000000,Y=130000.000000)","(X=155000.000000,Y=350000.000000)","((DifficultyThreshold=4,OffBaseSpawnData=(""ExileArcher_High"",""ExileFighter_High"",""Exile_Fighter_3_FireOrb""),OnBaseSpawnData=(""Wildlife_Skeleton_Dregs_Archer"",""Wildlife_Skeleton_Dregs_Fighter"",""Wildlife_UndeadLizardMan""),Boss=""Purge_ExilesBoss_T4"",BossSpawnDelay=1.000000,SpawnCap=15,ActiveCap=5,SpawnLocationCap=3,WaveTime=600.000000))","False","False"
310,"Darfari_Purge_Wave1","NSLOCTEXT(""[F7FFF4D149781A7E90C445A6D858D07D]"", ""5B624A6D4BE5D7721EEBECAC05C4E0D0"", ""A horde of darfari cannibals"")","0","(X=-200000.000000,Y=100000.000000)","(X=160000.000000,Y=260000.000000)","((OffBaseSpawnData=(""DarfariArcher_Low"",""DarfariFighter_Low""),OnBaseSpawnData=(""Wildlife_Imp""),BossSpawnDelay=1.000000,SpawnCap=4,NextWave=""Darfari_Purge_Wave2"",WaveTime=600.000000),(DifficultyThreshold=2,OffBaseSpawnData=(""DarfariArcher_LowMid"",""DarfariFighter_LowMid""),OnBaseSpawnData=(""Wildlife_Imp""),BossSpawnDelay=1.000000,SpawnCap=5,ActiveCap=3,NextWave=""Darfari_Purge_Wave2"",WaveTime=600.000000),(DifficultyThreshold=3,OffBaseSpawnData=(""DarfariArcher_LowMid"",""DarfariFighter_LowMid""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter""),BossSpawnDelay=1.000000,SpawnCap=8,ActiveCap=4,NextWave=""Darfari_Purge_Wave2"",WaveTime=600.000000),(DifficultyThreshold=4,OffBaseSpawnData=(""DarfariArcher_LowMid"",""DarfariFighter_LowMid""),OnBaseSpawnData=(""Wildlife_Skeleton_Fighter""),BossSpawnDelay=1.000000,SpawnCap=10,ActiveCap=5,NextWave=""Darfari_Purge_Wave2"",WaveTime=600.000000))","False","True"
